,title,genre
0,Don't Look Up,"Comedy, Drama, Sci-Fi"
1,Spider-Man: No Way Home,"Action, Adventure, Fantasy"
2,The Matrix Resurrections,"Action, Sci-Fi"
3,Encanto,"Animation, Comedy, Drama"
4,The King's Man,"Action, Adventure, Comedy"
5,Licorice Pizza,"Comedy, Drama, Romance"
6,The Power of the Dog,"Drama, Romance, Western"
7,Sing 2,"Animation, Adventure, Comedy"
8,The Unforgivable,"Crime, Drama"
9,No Time to Die,"Action, Adventure, Thriller"
10,Being the Ricardos,"Biography, Drama, History"
11,Dune: Part One,"Action, Adventure, Drama"
12,West Side Story,"Crime, Drama, Musical"
13,The Lost Daughter,Drama
14,The Last Duel,"Action, Drama, History"
15,"tick, tick...BOOM!","Biography, Drama, Musical"
16,Resident Evil: Welcome to Raccoon City,"Action, Horror, Sci-Fi"
17,The French Dispatch,"Comedy, Drama, Romance"
18,The Suicide Squad,"Action, Adventure, Comedy"
19,Nightmare Alley,"Crime, Drama, Thriller"
20,83,"Biography, Drama, History"
21,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy"
22,Minnal Murali,"Action, Adventure, Comedy"
23,Venom: Let There Be Carnage,"Action, Adventure, Sci-Fi"
24,House of Gucci,"Crime, Drama"
25,Pushpa: The Rise - Part 1,"Action, Adventure, Crime"
26,Red Notice,"Action, Comedy, Thriller"
27,Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy"
28,American Underdog,"Biography, Drama, Sport"
29,Atrangi Re,"Comedy, Drama, Romance"
30,Free Guy,"Action, Adventure, Comedy"
31,Red Rocket,"Comedy, Drama"
32,Eternals,"Action, Adventure, Fantasy"
33,A Boy Called Christmas,"Adventure, Drama, Family"
34,È stata la mano di Dio,Drama
35,Black Widow,"Action, Adventure, Sci-Fi"
36,The Tragedy of Macbeth,"Drama, History, Thriller"
37,Ron's Gone Wrong,"Animation, Adventure, Comedy"
38,Wrath of Man,"Action, Crime, Thriller"
39,Last Looks,"Action, Crime, Mystery"
40,Last Night in Soho,"Drama, Horror, Mystery"
41,Mass,Drama
42,C'mon C'mon,Drama
43,Spencer,"Biography, Drama"
44,Swan Song,"Drama, Romance, Sci-Fi"
45,The Green Knight,"Adventure, Drama, Fantasy"
46,Belfast,Drama
47,Old,"Drama, Horror, Mystery"
48,Jungle Cruise,"Action, Adventure, Comedy"
49,Love Hard,"Comedy, Romance"
0,"['Cruella', 'The Harder They Fall', 'Antlers', 'Titane', 'Finch', 'Silent Night', 'Back to the Outback', '8-Bit Christmas', 'Home Sweet Home Alone', 'CODA', 'Army of Thieves', 'Pig', 'Single All the Way', ""Zack Snyder's Justice League"", 'King Richard', 'F9', 'Nobody', 'In the Heights', 'Antim: The Final Truth', 'National Champions', 'Rumble', 'Verdens verste menneske', 'Raya and the Last Dragon', 'The Guilty', 'Jai Bhim', 'The Little Things', 'American Siege', 'Last Train to Christmas', ""Hitman's Wife's Bodyguard"", 'The Many Saints of Newark', 'Benedetta', 'Godzilla vs. Kong', 'Luca', 'Encounter', 'Clifford the Big Red Dog', 'A Journal for Jordan', 'A Castle for Christmas', 'After We Fell', 'Doraibu mai kâ', 'Wolf', 'Peter Rabbit 2: The Runaway', 'The Card Counter', 'Malignant', 'Army of the Dead', 'The Hating Game', 'Lamb', 'The Witcher: Nightmare of the Wolf', 'Stillwater', 'The Electrical Life of Louis Wain', 'Mortal Kombat']","['Adventure, Comedy, Crime', 'Action, Drama, Western', 'Drama, Horror, Mystery', 'Drama, Horror, Sci-Fi', 'Adventure, Drama, Sci-Fi', 'Drama, Horror', 'Animation, Adventure, Comedy', 'Comedy, Family', 'Action, Comedy, Family', 'Drama, Music', 'Action, Comedy, Crime', 'Drama, Mystery, Thriller', 'Comedy, Drama, Romance', 'Action, Adventure, Fantasy', 'Biography, Drama, Sport', 'Action, Crime, Thriller', 'Action, Crime, Drama', 'Drama, Musical, Romance', 'Action, Crime, Drama', 'Drama', 'Animation, Comedy, Family', 'Comedy, Drama, Romance', 'Animation, Action, Adventure', 'Crime, Drama, Thriller', 'Crime, Drama', 'Crime, Drama, Mystery', 'Action, Thriller', 'Comedy, Drama, Fantasy', 'Action, Comedy, Crime', 'Crime, Drama', 'Biography, Drama, History', 'Action, Sci-Fi, Thriller', 'Animation, Adventure, Comedy', 'Sci-Fi, Thriller', 'Adventure, Comedy, Family', 'Drama', 'Adventure, Comedy, Family', 'Drama, Romance', 'Drama', 'Drama, Mystery, Thriller', 'Animation, Adventure, Comedy', 'Crime, Drama, Thriller', 'Crime, Horror, Mystery', 'Action, Crime, Horror', 'Comedy, Romance', 'Drama, Fantasy, Horror', 'Animation, Action, Adventure', 'Crime, Drama, Thriller', 'Biography, Drama, History', 'Action, Adventure, Fantasy']"
