,title,cast_and_crew
0,Escape Room,"Adam Robitel (director); Bragi F. Schut, Maria Melnik (screenplay); Taylor Russell, Logan Miller, Deborah Ann Woll, Tyler Labine, Jay Ellis, Nik Dodani, Yorick van Wageningen"
1,Rust Creek,"Jen McGowan (director); Julie Lipson (screenplay); Hermione Corfield, Jay Paulson, Sean O'Bryan, Micah Hauptman"
2,American Hangman,"Wilson Coneybeare (director/screenplay); Donald Sutherland, Vincent Kartheiser, Oliver Dennis, Paul Braunstein"
3,A Dog's Way Home,"Charles Martin Smith (director); W. Bruce Cameron (screenplay); Bryce Dallas Howard, Edward James Olmos, Alexandra Shipp, Ashley Judd, Jonah Haur-King, Wes Studi"
4,The Upside,"Neil Burger (director); Jon Hartmere (screenplay); Bryan Cranston, Kevin Hart, Nicole Kidman"
5,Replicas,Jeffrey Nachmanoff (director); Chad St. John (screenplay); Keanu Reeves
6,After Darkness,"Batán Silva (director); Fernando Diez Barroso (screenplay); Natalia Dyer, Kyra Sedgwick, Tim Daly"
7,Glass,"M. Night Shyamalan (director/screenplay); James McAvoy, Bruce Willis, Samuel L. Jackson, Sarah Paulson, Anya Taylor-Joy, Spencer Treat Clark, Charlayne Woodard"
8,Close,"Vicky Jewson (director); Vicky Jewson, Rupert Whitaker (screenplay); Noomi Rapace, Sophie Nélisse, Indira Varma, Eoin Macken"
9,The Standoff at Sparrow Creek,"Henry Dunham (director/screenplay); James Badge Dale, Brian Geraghty"
10,The Final Wish,"Timothy Woodward Jr. (director); Jeffrey Reddick, William Halfon, Jonathan Doyle (screenplay); Lin Shaye, Michael Welch, Melissa Bolona, Spencer Locke, Tony Todd"
11,The Kid Who Would Be King,"Joe Cornish (director/screenplay); Louis Ashbourne Serkis, Dean Chaumoo, Tom Taylor, Rhianna Doris, Angus Imrie, Rebecca Ferguson, Patrick Stewart"
12,Serenity,"Steven Knight (director/screenplay); Matthew McConaughey, Anne Hathaway, Jason Clarke, Diane Lane, Djimon Hounsou"
13,I Am Mother,"Grant Sputore (director), Michael Lloyd Green (screenplay/story), Clara Rugaard, Rose Byrne, Hilary Swank"
14,The Vast of Night,"Andrew Patterson (director), James Montague, Craig W. Sanger (writers); Sierra McCormick, Jake Horowitz"
15,Miss Bala,"Catherine Hardwicke (director); Gareth Dunnet-Alcocer (screenplay); Gina Rodriguez, Ismael Cruz Córdova, Anthony Mackie"
16,Velvet Buzzsaw,"Dan Gilroy (director/screenplay); Jake Gyllenhaal, Rene Russo, Toni Collette, Zawe Ashton, Tom Sturridge, Natalia Dyer, Daveed Diggs, Billy Magnussen, John Malkovich"
17,Piercing,"Nicolas Pesce (director/screenplay); Christopher Abbott, Mia Wasikowska, Laia Costa, Maria Dizzia, Marin Ireland, Wendell Pierce"
18,The Lego Movie 2: The Second Part,"Mike Mitchell (director); Phil Lord, Christopher Miller (screenplay); Chris Pratt, Elizabeth Banks, Tiffany Haddish, Will Arnett, Stephanie Beatriz, Charlie Day, Alison Brie, Nick Offerman, Maya Rudolph"
19,What Men Want,"Adam Shankman (director); Tina Gordon Chism (screenplay); Taraji P. Henson, Tracy Morgan, Max Greenfield, Aldis Hodge, Wendi McLendon-Covey"
20,Cold Pursuit,"Hans Petter Moland (director); Frank Baldwin (screenplay); Liam Neeson, Tom Bateman, Tom Jackson, Emmy Rossum, Domenick Lombardozzi, Julia Jones, John Doman, Laura Dern"
21,High Flying Bird,"Steven Soderbergh (director); Tarell Alvin McCraney (screenplay); André Holland, Zazie Beetz, Melvin Gregg, Sonja Sohn, Zachary Quinto, Kyle MacLachlan, Bill Duke"
22,The Prodigy,"Nicholas McCarthy (director); Jeff Buhler (screenplay); Taylor Schilling, Peter Mooney, Colm Feore"
23,Isn't It Romantic,"Todd Strauss-Schulson (director); Erin Cardillo, Dana Fox, Katie Silberman (screenplay); Rebel Wilson, Liam Hemsworth, Adam DeVine, Priyanka Chopra, Betty Gilpin, Brandon Scott Jones"
24,Happy Death Day 2U,"Christopher Landon (director/screenplay); Jessica Rothe, Israel Broussard, Phi Vu, Suraj Sharma, Sarah Yarkin, Ruby Modine, Rachel Matthews, Charles Aitken, Steve Zissis"
25,Alita: Battle Angel,"Robert Rodriguez (director); James Cameron, Laeta Kalogridis (screenplay); Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali, Ed Skrein, Jackie Earle Haley, Keean Johnson, Leonard Wu"
26,How to Train Your Dragon: The Hidden World,"Dean DeBlois (director/screenplay); Jay Baruchel, America Ferrera, Cate Blanchett, Craig Ferguson, F. Murray Abraham"
27,Fighting with My Family,"Stephen Merchant (director/screenplay); Florence Pugh, Lena Headey, Nick Frost, Jack Lowden, Vince Vaughn, Dwayne Johnson"
28,Tyler Perry's A Madea Family Funeral,"Tyler Perry (director); Jason Rogers (screenplay); Tyler Perry, Courtney Burrell, Patrice Lovely"
29,Greta,"Neil Jordan (director/screenplay); Ray Wright (screenplay); Isabelle Huppert, Chloë Grace Moretz, Maika Monroe, Colm Feore, Stephen Rea"
30,Triple Frontier,"J. C. Chandor (director/screenplay); Mark Boal (screenplay); Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund, Pedro Pascal"
31,Captain Marvel,"Anna Boden, Ryan Fleck (directors/screenplay); Geneva Robertson-Dworet (screenplay); Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Annette Bening, Clark Gregg, Jude Law"
32,The Kid,"Vincent D'Onofrio (director); Andrew Lanham (screenplay); Ethan Hawke, Dane DeHaan, Jake Schur, Leila George, Adam Baldwin, Chris Pratt"
33,Wonder Park,"Josh Appelbaum, Andre Nemec (screenplay); Brianna Denski, Ken Hudson Campbell, Matthew Broderick, Jennifer Garner, Kenan Thompson, Ken Jeong, Mila Kunis, John Oliver"
34,Captive State,"Rupert Wyatt (director/screenplay); Erica Beeney (screenplay); John Goodman, Ashton Sanders, Jonathan Majors, Machine Gun Kelly, Vera Farmiga"
35,Nancy Drew and the Hidden Staircase,"Katt Shea (director); Nina Fiore, John Herrera (screenplay); Sophia Lillis, Zoe Renee, Mackenzie Graham, Laura Slade Wiggins, Sam Trammell, Linda Lavin"
36,The Aftermath,"James Kent (director); Joe Shrapnel, Anna Waterhouse (screenplay); Alexander Skarsgård, Keira Knightley, Jason Clarke"
37,Five Feet Apart,"Justin Baldoni (director); Mikki Daughtry, Tobias Iaconis (screenplay); Cole Sprouse, Haley Lu Richardson"
38,The Highwaymen,"John Lee Hancock (director); John Fusco (screenplay); Kevin Costner, Woody Harrelson, Kathy Bates, John Carroll Lynch, Kim Dickens, Thomas Mann, William Sadler"
39,Red 11,"Robert Rodriguez (director/screenplay); Racer Rodriguez (screenplay); Roby Attal, Lauren Hatfield, Alejandro Rose Garcia, Brently Heilbron, Katherine Willis, Carlos Gallardo"
40,Never Grow Old,"Ivan Kavanagh (director/screenplay); Emile Hirsch, Tim Ahern, Déborah François, John Cusack, Danny Webb, Sam Louwyck"
41,Triple Threat,"Jesse V. Johnson (director); Dwayne Smith (screenplay); Tony Jaa, Iko Uwais, Tiger Chen, Scott Adkins, Yanin Vismitananda, Celina Jade, Michael Bisping, Michael Jai White"
42,Us,"Jordan Peele (director/screenplay); Lupita Nyong'o, Winston Duke, Shahadi Wright Joseph, Evan Alex, Elisabeth Moss, Tim Heidecker"
43,Hotel Mumbai,"Anthony Maras (director/screenplay); John Collee (screenplay); Dev Patel, Armie Hammer, Nazanin Boniadi, Tilda Cobham-Hervey, Anupam Kher, Jason Isaacs"
44,The Dirt,"Jeff Tremaine (director): Tom Kapinos, Amanda Adelson, Rich Wilkes (screenplay); Douglas Booth, Iwan Rheon, Machine Gun Kelly, Daniel Webber"
45,Dragged Across Concrete,"S. Craig Zahler (director/screenplay); Mel Gibson, Vince Vaughn, Michael Jai White"
46,Dumbo,"Tim Burton (director); Ehren Kruger (screenplay); Colin Farrell, Michael Keaton, Danny DeVito, Eva Green, Nico Parker, Finley Hobbins, Alan Arkin, Roshan Seth, Lars Eidinger, DeObia Oparei"
47,The Beach Bum,"Harmony Korine (director/screenplay); Matthew McConaughey, Zac Efron, Jonah Hill, Isla Fisher, Jimmy Buffett, Snoop Dogg, Martin Lawrence"
48,Unplanned,"Chuck Konzelman, Cary Soloman (director/screenplay); Ashley Bratcher, Brooks Ryan, Robia Scott"
49,Shazam!,"David F. Sandberg (director); Henry Gayden (screenplay); Zachary Levi, Asher Angel, Mark Strong, Jack Dylan Grazer, Djimon Hounsou"
50,Pet Sematary,"Kevin Kolsch, Dennis Widmyer (directors); Jeff Buhler (screenplay); Jason Clarke, Amy Seimetz, John Lithgow"
51,The Best of Enemies,"Robin Bissell (director/screenplay); Taraji P. Henson, Sam Rockwell"
52,High Life,"Claire Denis (director/screenplay); Jean-Pol Fargeau (screenplay); Robert Pattinson, Juliette Binoche, André Benjamin, Mia Goth"
