,title,genre
0,Spider-Man: Far from Home,"Action, Adventure, Sci-Fi"
1,Avengers: Endgame,"Action, Adventure, Drama"
2,Knives Out,"Comedy, Crime, Drama"
3,Klaus,"Animation, Adventure, Comedy"
4,Little Women,"Drama, Romance"
5,Last Christmas,"Comedy, Drama, Fantasy"
6,Once Upon a Time in... Hollywood,"Comedy, Drama"
7,Joker,"Crime, Drama, Thriller"
8,Gisaengchung,"Comedy, Drama, Thriller"
9,Midsommar,"Drama, Horror, Mystery"
10,The King,"Biography, Drama, History"
11,1917,"Action, Drama, War"
12,Captain Marvel,"Action, Adventure, Sci-Fi"
13,The Gentlemen,"Action, Comedy, Crime"
14,Star Wars: Episode IX - The Rise of Skywalker,"Action, Adventure, Fantasy"
15,The Lighthouse,"Drama, Fantasy, Horror"
16,Downton Abbey,"Drama, Romance"
17,Judy,"Biography, Drama, Romance"
18,Jojo Rabbit,"Comedy, Drama, War"
19,Jumanji: The Next Level,"Action, Adventure, Comedy"
20,Horrible Histories: The Movie - Rotten Romans,"Comedy, Family, History"
21,John Wick: Chapter 3 - Parabellum,"Action, Crime, Thriller"
22,After,"Drama, Romance"
23,A Beautiful Day in the Neighborhood,"Biography, Drama"
24,The Irishman,"Biography, Crime, Drama"
25,The Lion King,"Animation, Adventure, Drama"
26,Yesterday,"Comedy, Fantasy, Music"
27,Rocketman,"Biography, Drama, Musical"
28,Fast & Furious Presents: Hobbs & Shaw,"Action, Adventure, Thriller"
29,Fighting with My Family,"Biography, Comedy, Drama"
30,Doctor Sleep,"Drama, Fantasy, Horror"
31,The Aftermath,"Drama, Romance, War"
32,Gemini Man,"Action, Adventure, Sci-Fi"
33,Uncut Gems,"Crime, Drama, Thriller"
34,Cats,"Comedy, Drama, Family"
35,Ready or Not,"Action, Comedy, Horror"
36,6 Underground,"Action, Thriller"
37,Hustlers,"Comedy, Crime, Drama"
38,Frozen II,"Animation, Adventure, Comedy"
39,Toy Story 4,"Animation, Adventure, Comedy"
40,Ford v Ferrari,"Action, Biography, Drama"
41,Let It Snow,"Comedy, Romance"
42,Aladdin,"Adventure, Comedy, Family"
43,Shazam!,"Action, Adventure, Comedy"
44,Polar,"Action, Crime, Drama"
45,Portrait de la jeune fille en feu,"Drama, Romance"
46,Bombshell,"Biography, Drama"
47,Marriage Story,"Comedy, Drama, Romance"
48,Dark Waters,"Biography, Drama, History"
49,Ad Astra,"Adventure, Drama, Mystery"
0,"['Booksmart', 'Sound of Metal', 'Midway', 'Noelle', 'Terminator: Dark Fate', 'The Professor and the Madman', ""A Dog's Journey"", 'The Knight Before Christmas', 'A Rainy Day in New York', 'The Secret Life of Pets 2', 'Extremely Wicked, Shockingly Evil and Vile', 'Just Mercy', ""Charlie's Angels"", 'Alita: Battle Angel', 'Dark Phoenix', 'In the Shadow of the Moon', 'Us', 'Zombieland: Double Tap', 'Murder Mystery', 'Angel Has Fallen', 'Richard Jewell', 'Escape Room', 'El hoyo', 'The Best of Enemies', 'Maleficent: Mistress of Evil', 'Saint Maud', 'It Chapter Two', 'Official Secrets', 'Godzilla: King of the Monsters', 'Good Boys', 'The Outpost', 'Tolkien', 'Fractured', 'The Peanut Butter Falcon', 'Countdown', 'The Dirt', 'Triple Frontier', 'The Good Liar', 'Glass', 'I See You', 'The Highwaymen', 'The Aeronauts', 'Black Christmas', 'El Camino: A Breaking Bad Movie', 'Abominable', 'Men in Black: International', 'Dronningen', 'Hellboy', 'Vivarium', 'Daughter of the Wolf']","['Comedy', 'Drama, Music', 'Action, Drama, History', 'Adventure, Comedy, Family', 'Action, Adventure, Sci-Fi', 'Biography, Drama, History', 'Adventure, Comedy, Drama', 'Adventure, Comedy, Drama', 'Comedy, Romance', 'Animation, Adventure, Comedy', 'Biography, Crime, Drama', 'Biography, Crime, Drama', 'Action, Adventure, Comedy', 'Action, Adventure, Sci-Fi', 'Action, Adventure, Sci-Fi', 'Crime, Mystery, Sci-Fi', 'Horror, Mystery, Thriller', 'Action, Comedy, Horror', 'Action, Comedy, Crime', 'Action, Thriller', 'Biography, Crime, Drama', 'Action, Adventure, Horror', 'Horror, Sci-Fi, Thriller', 'Biography, Drama, History', 'Adventure, Family, Fantasy', 'Drama, Horror, Mystery', 'Drama, Fantasy, Horror', 'Biography, Crime, Drama', 'Action, Adventure, Fantasy', 'Adventure, Comedy', 'Action, Drama, History', 'Biography, Drama, Romance', 'Mystery, Thriller', 'Adventure, Comedy, Drama', 'Horror, Thriller', 'Biography, Comedy, Drama', 'Action, Adventure, Crime', 'Crime, Drama, Mystery', 'Drama, Sci-Fi, Thriller', 'Crime, Drama, Horror', 'Biography, Crime, Drama', 'Action, Adventure, Drama', 'Horror, Mystery, Thriller', 'Action, Crime, Drama', 'Animation, Adventure, Comedy', 'Action, Adventure, Comedy', 'Drama', 'Action, Adventure, Fantasy', 'Horror, Mystery, Sci-Fi', 'Action, Thriller']"
1,"[""The Dead Don't Die"", 'Anna', 'Motherless Brooklyn', 'Pokémon: Detective Pikachu', 'Cosmos', 'Waiting for the Barbarians', '21 Bridges', 'Missing Link', 'Dora and the Lost City of Gold', 'Togo', 'The Informer', 'How to Train Your Dragon: The Hidden World', 'The Lodge', 'Five Feet Apart', 'Long Shot', 'The Laundromat', 'I Am Mother', 'The Art of Racing in the Rain', 'The Goldfinch', 'Waves', 'Mr. Jones', 'Guns Akimbo', 'Always Be My Maybe', 'Miss Bala', 'Synchronic', 'The Red Sea Diving Resort', 'Crawl', 'Swallow', 'Big Time Adolescence', 'Playing with Fire', 'The Addams Family', 'Christmas in the Wild', 'Yes, God, Yes', 'First Cow', 'Angel of Mine', 'Rambo: Last Blood', 'The Hustle', 'Cold Pursuit', 'Spies in Disguise', 'Feast of the Seven Fishes', 'Late Night', 'Brightburn', 'Stuber', '47 Meters Down: Uncaged', 'The Personal History of David Copperfield', 'Our Friend', 'The Silence', 'The Report', 'IO', 'Pinocchio']","['Comedy, Fantasy, Horror', 'Action, Thriller', 'Crime, Drama, Mystery', 'Action, Adventure, Comedy', 'Adventure, Mystery, Sci-Fi', 'Drama', 'Action, Thriller', 'Animation, Adventure, Comedy', 'Action, Adventure, Comedy', 'Adventure, Biography, Drama', 'Action, Crime, Drama', 'Animation, Action, Adventure', 'Drama, Horror, Mystery', 'Drama, Romance', 'Comedy, Romance', 'Comedy, Crime, Drama', 'Drama, Mystery, Sci-Fi', 'Comedy, Drama, Romance', 'Drama', 'Drama, Romance, Sport', 'Biography, Drama, Thriller', 'Action, Comedy, Crime', 'Comedy, Romance', 'Action, Crime, Drama', 'Drama, Horror, Mystery', 'Drama, History, Thriller', 'Action, Horror, Thriller', 'Drama, Mystery, Thriller', 'Comedy, Drama', 'Comedy, Family', 'Animation, Comedy, Family', 'Comedy, Drama, Romance', 'Comedy, Drama', 'Drama, Western', 'Drama, Mystery, Thriller', 'Action, Thriller', 'Comedy, Crime', 'Action, Comedy, Crime', 'Animation, Action, Adventure', 'Comedy', 'Comedy, Drama', 'Drama, Horror, Mystery', 'Action, Comedy, Crime', 'Adventure, Drama, Horror', 'Comedy, Drama', 'Drama, Romance', 'Drama, Horror, Sci-Fi', 'Biography, Crime, Drama', 'Adventure, Drama, Sci-Fi', 'Drama, Family, Fantasy']"
