,title,genre
0,365 dni,"Drama, Romance"
1,Promising Young Woman,"Crime, Drama, Mystery"
2,Tenet,"Action, Sci-Fi, Thriller"
3,The Father,"Drama, Mystery"
4,The Devil All the Time,"Crime, Drama, Thriller"
5,Wonder Woman 1984,"Action, Adventure, Fantasy"
6,The Christmas Chronicles: Part Two,"Adventure, Comedy, Family"
7,The Courier,"Drama, History, Thriller"
8,A Quiet Place Part II,"Drama, Horror, Sci-Fi"
9,Druk,"Comedy, Drama"
10,Holidate,"Comedy, Romance"
11,Fatman,"Fantasy, Thriller"
12,Hamilton,"Biography, Drama, History"
13,Dolittle,"Adventure, Comedy, Family"
14,Mainstream,"Comedy, Drama"
15,Nomadland,Drama
16,Retfærdighedens ryttere,"Action, Comedy, Drama"
17,Bruised,"Drama, Sport"
18,Soul,"Animation, Adventure, Comedy"
19,The Night House,"Horror, Thriller"
20,The Girl in the Yellow Jumper,Thriller
21,A California Christmas,"Comedy, Drama, Romance"
22,I Care a Lot,"Comedy, Crime, Thriller"
23,The Trial of the Chicago 7,"Drama, History, Thriller"
24,Enola Holmes,"Action, Adventure, Crime"
25,Happiest Season,"Comedy, Drama, Romance"
26,Zola,"Comedy, Crime, Drama"
27,Sonic the Hedgehog,"Action, Adventure, Comedy"
28,Good Joe Bell,"Biography, Drama"
29,After We Collided,"Drama, Romance"
30,De slag om de Schelde,"Drama, War"
31,Love and Monsters,"Action, Adventure, Comedy"
32,The Invisible Man,"Drama, Horror, Mystery"
33,Emma.,"Comedy, Drama, Romance"
34,Greenland,"Action, Drama, Thriller"
35,The King of Staten Island,"Comedy, Drama"
36,Jingle Jangle: A Christmas Journey,"Family, Fantasy, Musical"
37,Bad Boys for Life,"Action, Comedy, Crime"
38,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"Action, Adventure, Comedy"
39,Palm Springs,"Comedy, Fantasy, Mystery"
40,Mulan,"Action, Adventure, Drama"
41,Minari,Drama
42,News of the World,"Action, Adventure, Drama"
43,The Hunt,"Action, Horror, Thriller"
44,Greyhound,"Action, Drama, History"
45,Eurovision Song Contest: The Story of Fire Saga,"Comedy, Musical"
46,Boss Level,"Mystery, Sci-Fi, Thriller"
47,The Old Guard,"Action, Adventure, Fantasy"
48,I'm Thinking of Ending Things,"Drama, Thriller"
49,Shiva Baby,"Comedy, Drama"
